Hotel_Name,Hotel_Rating,City,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Hotel_Price
Park Inn by Radisson New Delhi IP Extension,4.3,delhi,4-star hotel,Breakfast ($),Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Bar,Restaurant,"₹6,828"
IIDL Suites,3.8,delhi,Apartment,Sleeps 10,Air conditioning,Airport shuttle,Elevator,Fireplace,Fitness center,Hot tub,Kitchen,"₹6,163"
"Welcomhotel By ITC Hotels, Dwarka, New Delhi - Contemporary Hotel in the Capital | Ideal for Business & Leisure Travellers",4.5,delhi,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Spa,Bar,"₹8,141"
Sarovar Portico Naraina,3.9,delhi,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen in some rooms,Airport shuttle,"₹4,536"
Hyatt Centric Janakpuri New Delhi,3.8,delhi,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Spa,Bar,"₹7,484"
"Taj Palace, New Delhi",4.7,delhi,5-star hotel,Breakfast ($),Wi-Fi ($),Free parking,Outdoor pool,Hot tub,Air conditioning,Fitness center,Spa,"₹15,050"
The Pamposh,3.7,delhi,3-star hotel,Free breakfast,Free Wi-Fi,Air conditioning,Restaurant,Full-service laundry,Business center,Kid-friendly,NA,"₹3,931"
Caves by Craftels,4.7,delhi,Breakfast ($),Free Wi-Fi,Free parking,Indoor pool,Hot tub,Air conditioning,Spa,Restaurant,Room service,"₹5,040"
Bloomrooms @ Janpath,4.4,delhi,3-star hotel,Breakfast ($),Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Full-service laundry,"₹6,451"
Ramada by Wyndham New Delhi Pitampura,3.9,delhi,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Accessible,"₹6,305"
Bloom Boutique | GK-1,4.2,delhi,3-star hotel,Breakfast ($),Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen in some rooms,Full-service laundry,"₹4,659"
